,type,sms,processedSMS,filteredSMS
12,0,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,sun ah thk mayb dun anythin thk book e lesson e pilat orchard mrt u noe hor,"['sun', 'ah', 'thk', 'mayb', 'dun', 'anythin', 'thk', 'book', 'e', 'lesson', 'e', 'pilat', 'orchard', 'mrt', 'u', 'noe', 'hor']"
13,0,Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.,darren say dat u meet da ge den dun meet 4 dinner co later u leav xy feel awkward den u meet 4 lunch lor,"['darren', 'say', 'dat', 'u', 'meet', 'da', 'ge', 'den', 'dun', 'meet', '4', 'dinner', 'co', 'later', 'u', 'leav', 'xy', 'feel', 'awkward', 'den', 'u', 'meet', '4', 'lunch', 'lor']"
14,0,Are you up for the challenge? I know i am :),challeng know,"['challeng', 'know']"
15,0,Have a good evening! Ttyl,good even ttyl,"['good', 'even', 'ttyl']"
16,0,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",thank much skype wit kz sura didnt get pleasur compani hope good given ultimatum oh countin aburo enjoy messag sent day ago,"['thank', 'much', 'skype', 'wit', 'kz', 'sura', 'didnt', 'get', 'pleasur', 'compani', 'hope', 'good', 'given', 'ultimatum', 'oh', 'countin', 'aburo', 'enjoy', 'messag', 'sent', 'day', 'ago']"
17,0,I have lost 10 kilos as of today!,lost 10 kilo today,"['lost', '10', 'kilo', 'today']"
18,0,Re your call; You didn't see my facebook huh?,call see facebook huh,"['call', 'see', 'facebook', 'huh']"
19,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",gon na home soon want talk stuff anymor tonight k cri enough today,"['gon', 'na', 'home', 'soon', 'want', 'talk', 'stuff', 'anymor', 'tonight', 'k', 'cri', 'enough', 'today']"
20,0,"Hey elaine, is today's meeting still on?",hey elain today meet still,"['hey', 'elain', 'today', 'meet', 'still']"
21,0,Yup i've finished c  _ there...,yup finish c,"['yup', 'finish', 'c']"
22,0,Wa... U so efficient... Gee... Thanx...,wa u effici gee thanx,"['wa', 'u', 'effici', 'gee', 'thanx']"
23,0,"Nah, Wednesday. When should I bring the mini cheetos bag over?",nah wednesday bring mini cheeto bag,"['nah', 'wednesday', 'bring', 'mini', 'cheeto', 'bag']"
24,0,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,better made friday stuf like pig yesterday feel bleh least writh pain kind bleh,"['better', 'made', 'friday', 'stuf', 'like', 'pig', 'yesterday', 'feel', 'bleh', 'least', 'writh', 'pain', 'kind', 'bleh']"
25,0,Its not the same here. Still looking for a job. How much do Ta's earn there.,still look job much ta earn,"['still', 'look', 'job', 'much', 'ta', 'earn']"
26,0,The length is e same but e top shorter n i got a fringe now. I thk i'm not going liao. Too lazy. Dun wan 2 distract u also.,length e e top shorter n got fring thk go liao lazi dun wan 2 distract u also,"['length', 'e', 'e', 'top', 'shorter', 'n', 'got', 'fring', 'thk', 'go', 'liao', 'lazi', 'dun', 'wan', '2', 'distract', 'u', 'also']"
27,0,Can you talk with me..,talk,['talk']
28,0,Why de. You looking good only:-)..,de look good,"['de', 'look', 'good']"
29,0,i felt so...not any conveying reason.. Ese he... What about me?,felt convey reason ese,"['felt', 'convey', 'reason', 'ese']"
30,0,"Just sent again. Do you scream and moan in bed, princess?",sent scream moan bed princess,"['sent', 'scream', 'moan', 'bed', 'princess']"
31,0,I'm at work. Please call,work pleas call,"['work', 'pleas', 'call']"
32,0,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,somewher beneath pale moon light someon think u dream come true goodnit amp sweet dream,"['somewher', 'beneath', 'pale', 'moon', 'light', 'someon', 'think', 'u', 'dream', 'come', 'true', 'goodnit', 'amp', 'sweet', 'dream']"
33,0,Lol wtf random. Btw is that your lunch break,lol wtf random btw lunch break,"['lol', 'wtf', 'random', 'btw', 'lunch', 'break']"
34,0,Webpage s not available!,webpag avail,"['webpag', 'avail']"
35,0,Huh but i cant go 2 ur house empty handed right?,huh cant go 2 ur hous empti hand right,"['huh', 'cant', 'go', '2', 'ur', 'hous', 'empti', 'hand', 'right']"
36,0,No b4 Thursday,b4 thursday,"['b4', 'thursday']"
37,0,Sen told that he is going to join his uncle finance in cbe,sen told go join uncl financ cbe,"['sen', 'told', 'go', 'join', 'uncl', 'financ', 'cbe']"
38,0,"Hiya, had a good day? Have you spoken to since the weekend?",hiya good day spoken sinc weekend,"['hiya', 'good', 'day', 'spoken', 'sinc', 'weekend']"
39,0,I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,got video tape pple type messag lor u free wan 2 help hee co noe u wan 2 watch infern affair ask u along ask shuhui oso,"['got', 'video', 'tape', 'pple', 'type', 'messag', 'lor', 'u', 'free', 'wan', '2', 'help', 'hee', 'co', 'noe', 'u', 'wan', '2', 'watch', 'infern', 'affair', 'ask', 'u', 'along', 'ask', 'shuhui', 'oso']"
40,0,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,oh ye speak txt 2 u hmm u get email,"['oh', 'ye', 'speak', 'txt', '2', 'u', 'hmm', 'u', 'get', 'email']"
41,0,"You aren't coming home between class, right? I need to work out and shower!",come home class right need work shower,"['come', 'home', 'class', 'right', 'need', 'work', 'shower']"
42,0,No problem. Talk to you later,problem talk later,"['problem', 'talk', 'later']"
43,0,No prob. I will send to your email.,prob send email,"['prob', 'send', 'email']"
44,0,Will  _ b going to esplanade fr home?,b go esplanad fr home,"['b', 'go', 'esplanad', 'fr', 'home']"
45,0,"Enjoy the showers of possessiveness poured on u by ur loved ones, bcoz in this world of lies, it is a golden gift to be loved truly..",enjoy shower possess pour u ur love one bcoz world lie golden gift love truli,"['enjoy', 'shower', 'possess', 'pour', 'u', 'ur', 'love', 'one', 'bcoz', 'world', 'lie', 'golden', 'gift', 'love', 'truli']"
46,0,"Its ok, called mom instead have fun",ok call mom instead fun,"['ok', 'call', 'mom', 'instead', 'fun']"
47,0,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",hey sexi bun told ador loverboy hope rememb thank sister law meatbal grin love babe,"['hey', 'sexi', 'bun', 'told', 'ador', 'loverboy', 'hope', 'rememb', 'thank', 'sister', 'law', 'meatbal', 'grin', 'love', 'babe']"
48,0,     comin to fetch us oredi...,comin fetch us oredi,"['comin', 'fetch', 'us', 'oredi']"
49,0,K go and sleep well. Take rest:-).,k go sleep well take rest,"['k', 'go', 'sleep', 'well', 'take', 'rest']"
50,0,Are you going to wipro interview today?,go wipro interview today,"['go', 'wipro', 'interview', 'today']"
51,0,Hey i've booked the pilates and yoga lesson already... Haha,hey book pilat yoga lesson alreadi haha,"['hey', 'book', 'pilat', 'yoga', 'lesson', 'alreadi', 'haha']"
52,0,Omg Joanna is freaking me out. She's looked thru all my friends to find photos of me. And then she's asking about stuff on my MySpace which I haven't even logged on in like a year. :/,omg joanna freak look thru friend find photo ask stuff myspac even log like year,"['omg', 'joanna', 'freak', 'look', 'thru', 'friend', 'find', 'photo', 'ask', 'stuff', 'myspac', 'even', 'log', 'like', 'year']"
53,0,Happy birthday... May u find ur prince charming soon n dun work too hard...,happi birthday may u find ur princ charm soon n dun work hard,"['happi', 'birthday', 'may', 'u', 'find', 'ur', 'princ', 'charm', 'soon', 'n', 'dun', 'work', 'hard']"
54,0,"whatever, im pretty pissed off.",whatev im pretti piss,"['whatev', 'im', 'pretti', 'piss']"
55,0,No. She's currently in scotland for that.,current scotland,"['current', 'scotland']"
56,0,"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",pleas ask macho price rang want someth new use plu interfu blackberri bold lt gt bb,"['pleas', 'ask', 'macho', 'price', 'rang', 'want', 'someth', 'new', 'use', 'plu', 'interfu', 'blackberri', 'bold', 'lt', 'gt', 'bb']"
57,0,U calling me right? Call my hand phone...,u call right call hand phone,"['u', 'call', 'right', 'call', 'hand', 'phone']"
58,0,"K I'll head out in a few mins, see you there",k head min see,"['k', 'head', 'min', 'see']"
59,0,He is world famamus....,world famamu,"['world', 'famamu']"
60,0,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,awww dat sweet think someth nice time tonight ill probabl txt u later co im lone xxx,"['awww', 'dat', 'sweet', 'think', 'someth', 'nice', 'time', 'tonight', 'ill', 'probabl', 'txt', 'u', 'later', 'co', 'im', 'lone', 'xxx']"
61,0,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)""",superb thought grate u dont everyth u want mean u still opportun happier tomorrow u today,"['superb', 'thought', 'grate', 'u', 'dont', 'everyth', 'u', 'want', 'mean', 'u', 'still', 'opportun', 'happier', 'tomorrow', 'u', 'today']"
62,0,(That said can you text him one more time?),said text one time,"['said', 'text', 'one', 'time']"
63,0,Ok lor... Or u wan me go look 4 u?,ok lor u wan go look 4 u,"['ok', 'lor', 'u', 'wan', 'go', 'look', '4', 'u']"
64,0,"Aight text me when you're back at mu and I'll swing by, need somebody to get the door for me",aight text back mu swing need somebodi get door,"['aight', 'text', 'back', 'mu', 'swing', 'need', 'somebodi', 'get', 'door']"
65,0,I've reached home finally...,reach home final,"['reach', 'home', 'final']"
66,0,No no:)this is kallis home ground.amla home town is durban:),kalli home ground amla home town durban,"['kalli', 'home', 'ground', 'amla', 'home', 'town', 'durban']"
67,0,Anything lar...,anyth lar,"['anyth', 'lar']"
68,0,Ok thanx...,ok thanx,"['ok', 'thanx']"
69,0,Its not that time of the month nor mid of the time?,time month mid time,"['time', 'month', 'mid', 'time']"
70,0,I'm home. Ard wat time will u reach?,home ard wat time u reach,"['home', 'ard', 'wat', 'time', 'u', 'reach']"
71,0,Indeed and by the way it was either or - not both !,inde way either,"['inde', 'way', 'either']"
72,0,I will be outside office take all from there,outsid offic take,"['outsid', 'offic', 'take']"
73,0,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate,hi darlin im helen fone im gon na b princ 2 nite pleas come tb love kate,"['hi', 'darlin', 'im', 'helen', 'fone', 'im', 'gon', 'na', 'b', 'princ', '2', 'nite', 'pleas', 'come', 'tb', 'love', 'kate']"
74,0,Then cant get da laptop? My matric card wif  _ lei... ,cant get da laptop matric card wif lei,"['cant', 'get', 'da', 'laptop', 'matric', 'card', 'wif', 'lei']"
75,0,I'll reach in ard 20 mins ok...,reach ard 20 min ok,"['reach', 'ard', '20', 'min', 'ok']"
76,0,says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,say lt gt year old man money last lt gt still wait check,"['say', 'lt', 'gt', 'year', 'old', 'man', 'money', 'last', 'lt', 'gt', 'still', 'wait', 'check']"
77,0,Then  _ wait 4 me at bus stop aft ur lect lar. If i dun c  _ then i go get my car then come back n pick  _.,wait 4 bu stop aft ur lect lar dun c go get car come back n pick,"['wait', '4', 'bu', 'stop', 'aft', 'ur', 'lect', 'lar', 'dun', 'c', 'go', 'get', 'car', 'come', 'back', 'n', 'pick']"
78,0,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,probabl eat today think gon na pop weekend u miss,"['probabl', 'eat', 'today', 'think', 'gon', 'na', 'pop', 'weekend', 'u', 'miss']"
79,0,Speaking of does he have any cash yet?,speak cash yet,"['speak', 'cash', 'yet']"
80,0,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint,ring come guy costum gift futur yowif hint hint,"['ring', 'come', 'guy', 'costum', 'gift', 'futur', 'yowif', 'hint', 'hint']"
81,0,Then she dun believe wat?,dun believ wat,"['dun', 'believ', 'wat']"
82,0,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,alright thank advic enjoy night tri get sleep,"['alright', 'thank', 'advic', 'enjoy', 'night', 'tri', 'get', 'sleep']"
83,0,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOODMORNING""",beauti truth graviti read care heart feel light someon feel heavi someon leav goodmorn,"['beauti', 'truth', 'graviti', 'read', 'care', 'heart', 'feel', 'light', 'someon', 'feel', 'heavi', 'someon', 'leav', 'goodmorn']"
84,0,Are you this much buzy,much buzi,"['much', 'buzi']"
85,0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",enter cabin pa said happi b day boss felt special askd 4 lunch lunch invit apart went,"['enter', 'cabin', 'pa', 'said', 'happi', 'b', 'day', 'boss', 'felt', 'special', 'askd', '4', 'lunch', 'lunch', 'invit', 'apart', 'went']"
86,0,"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sm,"['call', 'later', 'network', 'urgnt', 'sm']"
87,0,Cancel cheyyamo?and get some money back?,cancel cheyyamo get money back,"['cancel', 'cheyyamo', 'get', 'money', 'back']"
88,0,"Did you say bold, then torch later. Or one torch and 2bold?",say bold torch later one torch 2bold,"['say', 'bold', 'torch', 'later', 'one', 'torch', '2bold']"
89,0,Hey r  _ still online? I've finished the formatting...,hey r still onlin finish format,"['hey', 'r', 'still', 'onlin', 'finish', 'format']"
90,0,7 at esplanade.. Do  _ mind giving me a lift cos i got no car today..,7 esplanad mind give lift co got car today,"['7', 'esplanad', 'mind', 'give', 'lift', 'co', 'got', 'car', 'today']"
91,0,Ard 6 like dat lor.,ard 6 like dat lor,"['ard', '6', 'like', 'dat', 'lor']"
92,0,"Yo, the game almost over? Want to go to walmart soon",yo game almost want go walmart soon,"['yo', 'game', 'almost', 'want', 'go', 'walmart', 'soon']"
93,0,"Vikky, come around  &lt;TIME&gt; ..",vikki come around lt time gt,"['vikki', 'come', 'around', 'lt', 'time', 'gt']"
94,0,"K I'm leaving soon, be there a little after 9",k leav soon littl 9,"['k', 'leav', 'soon', 'littl', '9']"
95,0,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ok later show around 8 8 30 want cld drink wld prefer spend money nosh mind nxt wk,"['ok', 'later', 'show', 'around', '8', '8', '30', 'want', 'cld', 'drink', 'wld', 'prefer', 'spend', 'money', 'nosh', 'mind', 'nxt', 'wk']"
96,0,I am getting threats from your sales executive Shifad as i raised complaint against him. Its an official message.,get threat sale execut shifad rais complaint offici messag,"['get', 'threat', 'sale', 'execut', 'shifad', 'rais', 'complaint', 'offici', 'messag']"
97,0,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,sorri dude dont know forgot even dan remind sorri hope guy fun,"['sorri', 'dude', 'dont', 'know', 'forgot', 'even', 'dan', 'remind', 'sorri', 'hope', 'guy', 'fun']"
98,0,S.s:)i thinl role is like sachin.just standing. Others have to hit.,thinl role like sachin stand other hit,"['thinl', 'role', 'like', 'sachin', 'stand', 'other', 'hit']"
99,0,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-),nope b go 2 sch fri quit earli lor co my si got paper da morn,"['nope', 'b', 'go', '2', 'sch', 'fri', 'quit', 'earli', 'lor', 'co', 'my', 'si', 'got', 'paper', 'da', 'morn']"
100,0,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,hmm bad news hype park plaza 700 studio taken left 2 bedrm 900,"['hmm', 'bad', 'news', 'hype', 'park', 'plaza', '700', 'studio', 'taken', 'left', '2', 'bedrm', '900']"
101,0,Guess who spent all last night phasing in and out of the fourth dimension,guess spent last night phase fourth dimens,"['guess', 'spent', 'last', 'night', 'phase', 'fourth', 'dimens']"
102,0,No de.am seeing in online shop so that i asked.,de see onlin shop ask,"['de', 'see', 'onlin', 'shop', 'ask']"
103,0,Dear where you. Call me,dear call,"['dear', 'call']"
104,0,"Alright we're hooked up, where you guys at",alright hook guy,"['alright', 'hook', 'guy']"
105,0,     all write or wat..,write wat,"['write', 'wat']"
106,0,Are you staying in town ?,stay town,"['stay', 'town']"
107,0,Where to get those?,get,['get']
108,0,I am in tirupur.  call you da.,tirupur call da,"['tirupur', 'call', 'da']"
109,0,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.,hi dear call urgnt know what problem want work problem least tell wate repli,"['hi', 'dear', 'call', 'urgnt', 'know', 'what', 'problem', 'want', 'work', 'problem', 'least', 'tell', 'wate', 'repli']"
110,0,I am going to sao mu today. Will be done only at 12 ,go sao mu today done 12,"['go', 'sao', 'mu', 'today', 'done', '12']"
111,0,Dai  &lt;#&gt;  naal eruku.,dai lt gt naal eruku,"['dai', 'lt', 'gt', 'naal', 'eruku']"
112,0,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola",sir good morn hope good weekend call let know abl rais lt gt dad howev said would make rest avail mid feb amount still quit short hope would help good day abiola,"['sir', 'good', 'morn', 'hope', 'good', 'weekend', 'call', 'let', 'know', 'abl', 'rais', 'lt', 'gt', 'dad', 'howev', 'said', 'would', 'make', 'rest', 'avail', 'mid', 'feb', 'amount', 'still', 'quit', 'short', 'hope', 'would', 'help', 'good', 'day', 'abiola']"
113,0,yeah sure thing mate haunt got all my stuff sorted but im going sound anyway promoting hex for .by the way who is this? dont know number. Joke,yeah sure thing mate haunt got stuff sort im go sound anyway promot hex way dont know number joke,"['yeah', 'sure', 'thing', 'mate', 'haunt', 'got', 'stuff', 'sort', 'im', 'go', 'sound', 'anyway', 'promot', 'hex', 'way', 'dont', 'know', 'number', 'joke']"
114,0,Have you bookedthe hut? And also your time off? How are you by the way?,bookedth hut also time way,"['bookedth', 'hut', 'also', 'time', 'way']"
115,0,"No my blankets are sufficient, thx",blanket suffici thx,"['blanket', 'suffici', 'thx']"
116,0,Jay says that you're a double-faggot,jay say doubl faggot,"['jay', 'say', 'doubl', 'faggot']"
117,0,No let me do the math. Your not good at it.,let math good,"['let', 'math', 'good']"
118,0,"Sorry, I'll call later",sorri call later,"['sorri', 'call', 'later']"
119,0,How's ur paper?,ur paper,"['ur', 'paper']"
120,0,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,hi darlin ive got back realli nice night thank much lift see u tomorrow xxx,"['hi', 'darlin', 'ive', 'got', 'back', 'realli', 'nice', 'night', 'thank', 'much', 'lift', 'see', 'u', 'tomorrow', 'xxx']"
121,0,I cant pick the phone right now. Pls send a message,cant pick phone right pl send messag,"['cant', 'pick', 'phone', 'right', 'pl', 'send', 'messag']"
122,0,"Don't Think About \What u Have Got\"" Think About \""How to Use It That You Have Got\"" gooD ni8""",think u got think use got good ni8,"['think', 'u', 'got', 'think', 'use', 'got', 'good', 'ni8']"
123,0,HAPPY NEW YEAR MY NO.1 MAN,happi new year 1 man,"['happi', 'new', 'year', '1', 'man']"
124,0,At the funeral home with Audrey and dad,funer home audrey dad,"['funer', 'home', 'audrey', 'dad']"
125,0,Well. You know what i mean. Texting,well know mean text,"['well', 'know', 'mean', 'text']"
126,0,It has everything to do with the weather. Keep extra warm. Its a cold but nothing serious. Pls lots of vitamin c,everyth weather keep extra warm cold noth seriou pl lot vitamin c,"['everyth', 'weather', 'keep', 'extra', 'warm', 'cold', 'noth', 'seriou', 'pl', 'lot', 'vitamin', 'c']"
127,0,Then why no one talking to me,one talk,"['one', 'talk']"
128,0,Meet after lunch la...,meet lunch la,"['meet', 'lunch', 'la']"
129,0,"Come to me right now, Ahmad",come right ahmad,"['come', 'right', 'ahmad']"
130,0,No problem. We will be spending a lot of quality time together...,problem spend lot qualiti time togeth,"['problem', 'spend', 'lot', 'qualiti', 'time', 'togeth']"
131,0,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? ,today workin free oso gee thgt u workin ur fren shop,"['today', 'workin', 'free', 'oso', 'gee', 'thgt', 'u', 'workin', 'ur', 'fren', 'shop']"
132,0,"I'm not sure, I was just checking out what was happening around the area",sure check happen around area,"['sure', 'check', 'happen', 'around', 'area']"
133,0,"Total disappointment, when I texted you was the craziest shit got :(",total disappoint text craziest shit got,"['total', 'disappoint', 'text', 'craziest', 'shit', 'got']"
134,0,I surely dont forgot to come:)i will always be in touch in with you:-),sure dont forgot come alway touch,"['sure', 'dont', 'forgot', 'come', 'alway', 'touch']"
135,0,Nope i'll come online now..,nope come onlin,"['nope', 'come', 'onlin']"
136,0,Convey my regards to him,convey regard,"['convey', 'regard']"
137,0,Good morning princess! How are you?,good morn princess,"['good', 'morn', 'princess']"
138,0,Well I'm going to be an aunty!,well go aunti,"['well', 'go', 'aunti']"
139,0,     neva tell me how i noe... I'm not at home in da aft wat... ,neva tell noe home da aft wat,"['neva', 'tell', 'noe', 'home', 'da', 'aft', 'wat']"
140,0,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,boat still mom check yo half nake,"['boat', 'still', 'mom', 'check', 'yo', 'half', 'nake']"
141,0,ARR birthday today:) i wish him to get more oscar.,arr birthday today wish get oscar,"['arr', 'birthday', 'today', 'wish', 'get', 'oscar']"
142,0,I will lick up every drop :) are you ready to use your mouth as well?,lick everi drop readi use mouth well,"['lick', 'everi', 'drop', 'readi', 'use', 'mouth', 'well']"
143,0,I want to go to perumbavoor,want go perumbavoor,"['want', 'go', 'perumbavoor']"
144,0,Also are you bringing galileo or dobby,also bring galileo dobbi,"['also', 'bring', 'galileo', 'dobbi']"
145,0,"\Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx\""""",hi kate love see tonight ill phone tomorrow got sing guy gave card xxx,"['hi', 'kate', 'love', 'see', 'tonight', 'ill', 'phone', 'tomorrow', 'got', 'sing', 'guy', 'gave', 'card', 'xxx']"
146,0,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",motiv behind everi dark shine light wait find behind everi best friend alway trust love bslvyl,"['motiv', 'behind', 'everi', 'dark', 'shine', 'light', 'wait', 'find', 'behind', 'everi', 'best', 'friend', 'alway', 'trust', 'love', 'bslvyl']"
147,0,I am on the way to tirupur.,way tirupur,"['way', 'tirupur']"
148,0,Were somewhere on Fredericksburg,somewher fredericksburg,"['somewher', 'fredericksburg']"
149,0,Dont pick up d call when something important is There to tell. Hrishi,dont pick call someth import tell hrishi,"['dont', 'pick', 'call', 'someth', 'import', 'tell', 'hrishi']"
150,0,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,ye repli mail go manag offic later plu bank later also wednesday,"['ye', 'repli', 'mail', 'go', 'manag', 'offic', 'later', 'plu', 'bank', 'later', 'also', 'wednesday']"
151,0,Lol boo I was hoping for a laugh,lol boo hope laugh,"['lol', 'boo', 'hope', 'laugh']"
152,0,Fine if that    s the way u feel. That    s the way its gota b,fine way u feel way gota b,"['fine', 'way', 'u', 'feel', 'way', 'gota', 'b']"
153,0,Early bird! Any purchases yet?,earli bird purchas yet,"['earli', 'bird', 'purchas', 'yet']"
154,0,THIS IS A LONG FUCKIN SHOWR,long fuckin showr,"['long', 'fuckin', 'showr']"
155,0,"I'll text carlos and let you know, hang on",text carlo let know hang,"['text', 'carlo', 'let', 'know', 'hang']"
156,0,"Thanx 4 the time we    ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",thanx 4 time spent 2geva bin mint ur babi want u xxxx,"['thanx', '4', 'time', 'spent', '2geva', 'bin', 'mint', 'ur', 'babi', 'want', 'u', 'xxxx']"
157,0,How much for an eighth?,much eighth,"['much', 'eighth']"
158,0,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,opinion 1 2 jada 3 kusruthi 4 lovabl 5 silent 6 spl charact 7 matur 8 stylish 9 simpl pl repli,"['opinion', '1', '2', 'jada', '3', 'kusruthi', '4', 'lovabl', '5', 'silent', '6', 'spl', 'charact', '7', 'matur', '8', 'stylish', '9', 'simpl', 'pl', 'repli']"
159,0,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.,uncl boy need movi oh guid plu know torrent particularli legal system slow gr8 day plu start co dont meet onlin honey moon,"['uncl', 'boy', 'need', 'movi', 'oh', 'guid', 'plu', 'know', 'torrent', 'particularli', 'legal', 'system', 'slow', 'gr8', 'day', 'plu', 'start', 'co', 'dont', 'meet', 'onlin', 'honey', 'moon']"
160,0,"Sorry, I'll call later",sorri call later,"['sorri', 'call', 'later']"
161,0,"Alright if you're sure, let me know when you're leaving",alright sure let know leav,"['alright', 'sure', 'let', 'know', 'leav']"
